"","count_perceptionPretestResponse","percepPretestA","percepPretestB","response_perceptionPretestResponse","subject_nr","audio","title","prepost","count_perceptionPostTestResponse","perceptionPostTestOptionA","perceptionPostTestOptionB","response_perceptionPostTestResponse","contrast","stepOnCon","BB","AF","responseV","count","pair"
"53",49,"sik","sec","E","2","sik-sec5.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","5","BB","AF","E",49,"sik-sec"
"54",53,"kek","kik","E","2","kik-kek_continuumStep_2_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","2","BB","AF","I",53,"kik-kek"
"55",58,"pip","pep","A","2","pip-pep_continuumStep_2_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","2","BB","AF","I",58,"pip-pep"
"56",59,"pip","pep","A","2","pip-pep_continuumStep_4_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","4","BB","AF","I",59,"pip-pep"
"57",60,"pip","pep","E","2","pip-pep_continuumStep_7_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","7","BB","AF","E",60,"pip-pep"
"58",63,"pip","pep","E","2","pip-pep_continuumStep_6_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","6","BB","AF","E",63,"pip-pep"
"59",66,"sik","sec","E","2","sik-sec7.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","7","BB","AF","E",66,"sik-sec"
"60",67,"kek","kik","E","2","kik-kek_continuumStep_4_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","4","BB","AF","I",67,"kik-kek"
"61",71,"sik","sec","A","2","sik-sec6.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","6","BB","AF","I",71,"sik-sec"
"62",72,"kek","kik","E","2","kik-kek_continuumStep_3_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","3","BB","AF","I",72,"kik-kek"
"63",81,"pip","pep","E","2","pip-pep_continuumStep_5_stereo.wav","BB-AF-MN","pre",NA,NA,NA,NA,"IE","5","BB","AF","E",81,"pip-pep"
"64",NA,NA,NA,NA,"2","kik-kek_continuumStep_2_stereo.wav","BB-AF-MN","post",1,"kek","kik","E","IE","2","BB","AF","I",1,"kik-kek"
"65",NA,NA,NA,NA,"2","sik-sec7.wav","BB-AF-MN","post",5,"sik","sec","E","IE","7","BB","AF","E",5,"sik-sec"
"66",NA,NA,NA,NA,"2","kik-kek_continuumStep_7_stereo.wav","BB-AF-MN","post",10,"kek","kik","A","IE","7","BB","AF","E",10,"kik-kek"
"67",NA,NA,NA,NA,"2","sik-sec3.wav","BB-AF-MN","post",12,"sik","sec","A","IE","3","BB","AF","I",12,"sik-sec"
"68",NA,NA,NA,NA,"2","kik-kek_continuumStep_1_stereo.wav","BB-AF-MN","post",13,"kek","kik","E","IE","1","BB","AF","I",13,"kik-kek"
"69",NA,NA,NA,NA,"2","kik-kek_continuumStep_5_stereo.wav","BB-AF-MN","post",14,"kek","kik","A","IE","5","BB","AF","E",14,"kik-kek"
"70",NA,NA,NA,NA,"2","pip-pep_continuumStep_7_stereo.wav","BB-AF-MN","post",19,"pip","pep","E","IE","7","BB","AF","E",19,"pip-pep"
"71",NA,NA,NA,NA,"2","sik-sec6.wav","BB-AF-MN","post",29,"sik","sec","E","IE","6","BB","AF","E",29,"sik-sec"
"72",NA,NA,NA,NA,"2","pip-pep_continuumStep_3_stereo.wav","BB-AF-MN","post",32,"pip","pep","E","IE","3","BB","AF","E",32,"pip-pep"
"73",NA,NA,NA,NA,"2","pip-pep_continuumStep_5_stereo.wav","BB-AF-MN","post",33,"pip","pep","E","IE","5","BB","AF","E",33,"pip-pep"
"74",NA,NA,NA,NA,"2","sik-sec5.wav","BB-AF-MN","post",36,"sik","sec","E","IE","5","BB","AF","E",36,"sik-sec"
"75",NA,NA,NA,NA,"2","kik-kek_continuumStep_3_stereo.wav","BB-AF-MN","post",47,"kek","kik","E","IE","3","BB","AF","I",47,"kik-kek"
"76",NA,NA,NA,NA,"2","sik-sec2.wav","BB-AF-MN","post",50,"sik","sec","A","IE","2","BB","AF","I",50,"sik-sec"
"77",NA,NA,NA,NA,"2","sik-sec4.wav","BB-AF-MN","post",56,"sik","sec","A","IE","4","BB","AF","I",56,"sik-sec"
"78",NA,NA,NA,NA,"2","pip-pep_continuumStep_6_stereo.wav","BB-AF-MN","post",58,"pip","pep","E","IE","6","BB","AF","E",58,"pip-pep"
"79",NA,NA,NA,NA,"2","sik-sec1.wav","BB-AF-MN","post",61,"sik","sec","A","IE","1","BB","AF","I",61,"sik-sec"
"80",NA,NA,NA,NA,"2","kik-kek_continuumStep_4_stereo.wav","BB-AF-MN","post",62,"kek","kik","E","IE","4","BB","AF","I",62,"kik-kek"
"81",NA,NA,NA,NA,"2","pip-pep_continuumStep_4_stereo.wav","BB-AF-MN","post",65,"pip","pep","E","IE","4","BB","AF","E",65,"pip-pep"
"82",NA,NA,NA,NA,"2","kik-kek_continuumStep_6_stereo.wav","BB-AF-MN","post",75,"kek","kik","A","IE","6","BB","AF","E",75,"kik-kek"
"83",NA,NA,NA,NA,"2","pip-pep_continuumStep_1_stereo.wav","BB-AF-MN","post",77,"pip","pep","A","IE","1","BB","AF","I",77,"pip-pep"
